UF,sigla,regiao,u0_intercepto,u1_slope,gap_blup,gap_blup_pct,beta_ols,se,n,n_negro,shrinkage,gap_eb,gap_eb_pct
11,RO,Norte,0.01282,0.012006,-0.1086,-10.29,-0.13160982924470072,0.00411516214404017,136249,96505,0.9934,-0.1315,-12.32
12,AC,Norte,0.08156,-0.066066,-0.1867,-17.03,-0.14132355822760176,0.005470822588327272,123955,100393,0.9884,-0.1409,-13.14
13,AM,Norte,-0.06906,-0.107087,-0.2277,-20.36,-0.10487647043938828,0.004715014675922593,190865,159566,0.9913,-0.1049,-9.96
14,RR,Norte,0.09668,-0.064946,-0.1856,-16.94,-0.12480890533214467,0.0062198612043288,87213,67827,0.985,-0.1246,-11.72
15,PA,Norte,-0.05926,-0.07071,-0.1913,-17.41,-0.11526394343014845,0.004047555565895786,258922,211690,0.9936,-0.1152,-10.88
16,AP,Norte,0.03436,-0.03912,-0.1598,-14.77,-0.12397676749201857,0.007231753870603267,68762,55976,0.9799,-0.1237,-11.64
17,TO,Norte,0.16701,-0.0768,-0.1974,-17.91,-0.1663386023506605,0.005173074422514441,115905,90571,0.9896,-0.1657,-15.27
21,MA,Nordeste,-0.03739,-0.025033,-0.1457,-13.56,-0.11024734099537266,0.003437365656997953,366512,299412,0.9954,-0.1102,-10.43
22,PI,Nordeste,-0.13411,-0.003384,-0.124,-11.66,-0.12698146276970657,0.005344048253655296,145508,116669,0.9889,-0.1268,-11.91
23,CE,Nordeste,-0.06865,-0.013125,-0.1338,-12.52,-0.10579418592308011,0.003066139398477618,323331,238338,0.9963,-0.1058,-10.04
24,RN,Nordeste,-0.11126,0.05304,-0.0676,-6.54,-0.07236009701399299,0.004281535209424039,135963,85217,0.9929,-0.0726,-7.0
25,PB,Nordeste,-0.047,0.008721,-0.1119,-10.59,-0.07205703098213141,0.003994291030525167,177020,117824,0.9938,-0.0723,-6.97
26,PE,Nordeste,-0.16523,0.021872,-0.0988,-9.41,-0.07632812142045543,0.003271455251744465,257705,175619,0.9958,-0.0765,-7.36
27,AL,Nordeste,-0.06124,0.015013,-0.1056,-10.02,-0.07980928008836989,0.0033921267017809095,226268,167835,0.9955,-0.0799,-7.68
28,SE,Nordeste,-0.06404,0.032398,-0.0882,-8.44,-0.08506846547301182,0.005357284839770907,127769,100387,0.9889,-0.0853,-8.18
29,BA,Nordeste,0.0418,0.06925,-0.0514,-5.01,-0.08603930701902611,0.003751017480223539,316936,261005,0.9945,-0.0862,-8.26
31,MG,Sudeste,-0.08035,0.105921,-0.0147,-1.46,-0.08873366204687742,0.0018459460258749298,639724,380154,0.9987,-0.0888,-8.5
32,ES,Sudeste,0.02675,0.05209,-0.0685,-6.62,-0.12196755077953302,0.0026602587259324777,306151,185641,0.9972,-0.1219,-11.48
33,RJ,Sudeste,0.1176,-0.000582,-0.1212,-11.41,-0.09782485480045411,0.0018906695015188989,581822,319941,0.9986,-0.0978,-9.32
35,SP,Sudeste,0.03003,0.041226,-0.0794,-7.63,-0.09568197797607123,0.0017042411366612533,708257,285175,0.9989,-0.0957,-9.13
41,PR,Sul,-0.07288,0.035598,-0.085,-8.15,-0.11290902558145907,0.0021033562937116646,472589,157578,0.9983,-0.1129,-10.68
42,SC,Sul,-0.12955,0.05287,-0.0678,-6.56,-0.1191566669890616,0.002111266817424224,578029,106718,0.9983,-0.1191,-11.23
43,RS,Sul,-0.14748,0.008104,-0.1125,-10.64,-0.12099009039014501,0.0027464394003335444,457533,85759,0.997,-0.121,-11.4
50,MS,Centro-Oeste,-0.04401,0.030026,-0.0906,-8.66,-0.1158952666579629,0.003151465602887806,191669,109277,0.9961,-0.1159,-10.94
51,MT,Centro-Oeste,0.12033,0.00474,-0.1159,-10.94,-0.13184671789764354,0.0030378081778854866,231640,159478,0.9964,-0.1318,-12.35
52,GO,Centro-Oeste,0.12594,0.036527,-0.0841,-8.07,-0.09181782728937936,0.002533239487838822,301816,193939,0.9975,-0.0919,-8.78
53,DF,Centro-Oeste,0.43663,-0.112549,-0.2332,-20.8,-0.09763680281173437,0.003800078542267428,161313,102923,0.9944,-0.0977,-9.31
