UF,sigla,regiao,beta,se,OR,n,eventos,setor
11,RO,N,-0.3228095542744955,0.0195673620015914,0.724111745223802,113944,18356,Privado
12,AC,N,-0.37561679003999837,0.02288696247125399,0.6868654963150563,94960,15769,Privado
13,AM,N,-0.33284105548033927,0.01832748526996013,0.7168841299044078,156471,28653,Privado
14,RR,N,-0.3066502243801249,0.02603577265356561,0.7359079585582893,64980,11176,Privado
15,PA,N,-0.33492360454226777,0.016054699344009833,0.7153927370206049,219869,32946,Privado
16,AP,N,-0.39135372726574713,0.030071874144644024,0.6761409442464488,50862,8977,Privado
17,TO,N,-0.4658003646951546,0.022348082103812863,0.627632569160534,89417,15780,Privado
21,MA,NE,-0.28844321394002764,0.014537606292375788,0.7494293610798427,299990,38285,Privado
22,PI,NE,-0.34011181424947,0.021291215061403725,0.7116907411474371,117904,20058,Privado
23,CE,NE,-0.35590310175830575,0.012400187733598257,0.7005404980890774,275271,47558,Privado
24,RN,NE,-0.24736873853503266,0.017468672911612422,0.7808527099549734,112325,22082,Privado
25,PB,NE,-0.25758795713783084,0.016669612021168408,0.7729136400520192,143456,26107,Privado
26,PE,NE,-0.26014963071389824,0.01336687342372389,0.7709362214355717,222334,42951,Privado
27,AL,NE,-0.2990328424375765,0.015617230408084371,0.741535055216325,183013,30989,Privado
28,SE,NE,-0.2470826143799321,0.02241071702554021,0.7810761627429629,108200,18488,Privado
29,BA,NE,-0.3560932832342216,0.01558365311987613,0.7004072809313313,272581,43348,Privado
31,MG,SE,-0.4254260150807495,0.008036536858752365,0.6534913286595828,561773,124448,Privado
32,ES,SE,-0.3740613401140738,0.011217737561535688,0.6879347125409955,266325,66187,Privado
33,RJ,SE,-0.3697566998277982,0.0074563170365835344,0.6909024068646028,499590,160565,Privado
35,SP,SE,-0.4444466632715918,0.006811022199711275,0.6411789657630806,645673,208693,Privado
41,PR,S,-0.39607271456751963,0.009375551835641878,0.6729577603257411,421385,108082,Privado
42,SC,S,-0.5860414569928146,0.010024847612811564,0.5565259620394032,519341,146528,Privado
43,RS,S,-0.4599420925447066,0.01184384904461141,0.6313202025948593,400870,111920,Privado
50,MS,CO,-0.36946031489710635,0.013723849259950996,0.6911072102753993,163719,36011,Privado
51,MT,CO,-0.42374177987023287,0.012869792954590264,0.6545928891481643,203113,42470,Privado
52,GO,CO,-0.3488731682193398,0.010918463735441157,0.7054826022105548,264215,59066,Privado
53,DF,CO,-0.33795309831099973,0.014421711875198619,0.7132287387463162,129441,45099,Privado
11,RO,N,-0.43021281068706124,0.03537726788760003,0.6503706741651384,22443,14943,Público
12,AC,N,-0.4037721016262944,0.03790486886717106,0.6677962936176369,29155,21367,Público
13,AM,N,-0.20565012179265874,0.03698086324176526,0.8141178685591259,34516,24114,Público
14,RR,N,-0.3651002131392774,0.03842708996278731,0.6941270867379972,22288,15183,Público
15,PA,N,-0.19140383842022646,0.031934449863256005,0.8257990314279405,39225,26030,Público
16,AP,N,-0.1292369216460125,0.04773201238977513,0.8787657422541405,17926,13303,Público
17,TO,N,-0.34728379614019333,0.03873477220861304,0.7066047680941681,26505,18362,Público
21,MA,NE,-0.18488333698248133,0.0248142815121834,0.831201248641745,66956,45002,Público
22,PI,NE,-0.33584329518359357,0.03915250500700771,0.7147350994733976,27797,19547,Público
23,CE,NE,-0.22630949736876319,0.02592667386174889,0.7974712482144113,48535,33194,Público
24,RN,NE,-0.1603316335402633,0.03424517836615096,0.8518612363592134,23733,16613,Público
25,PB,NE,-0.21855469720579582,0.02977760791132226,0.8036795192183597,33703,23239,Público
26,PE,NE,-0.2355548461048151,0.029016778583923396,0.7901323261400136,35751,24857,Público
27,AL,NE,-0.14468828359541946,0.025810009483314744,0.86529197678006,43531,27190,Público
28,SE,NE,-0.2576210110071304,0.04459201050053001,0.772888092687803,19664,13066,Público
29,BA,NE,-0.2927587523310224,0.03138965557689589,0.7462021385108238,44752,29397,Público
31,MG,SE,-0.40182198651123646,0.019840105675503993,0.6690998438870309,78146,53352,Público
32,ES,SE,-0.45234826778723397,0.02810711684060213,0.6361325866538624,40046,29641,Público
33,RJ,SE,-0.3923994496751151,0.01813702081083225,0.6754342580723421,82552,55780,Público
35,SP,SE,-0.2955893051264802,0.021684330789307055,0.7440929604398607,62732,44520,Público
41,PR,S,-0.4025890833344839,0.02577640091681324,0.668586776333754,51340,37815,Público
42,SC,S,-0.4066323274348623,0.0299417172637166,0.6658889744058807,58833,43619,Público
43,RS,S,-0.39405853231637544,0.029161530947958734,0.6743145858906321,56891,40939,Público
50,MS,CO,-0.35973683131828377,0.029479298908384736,0.6978599567918954,28002,18655,Público
51,MT,CO,-0.40775036441751955,0.03206390094969399,0.6651449019339298,28575,19583,Público
52,GO,CO,-0.24343382718720957,0.026871502471130793,0.7839313492583704,37689,25911,Público
53,DF,CO,-0.3823817043634117,0.030844257490256516,0.6822345915784068,31890,24370,Público
