UF,sigla,regiao,beta,se,OR,n,eventos,desfecho
11,RO,N,-0.31019615443706533,0.01584799581636487,0.7333031014588103,136387,33299,ocp_qualif
12,AC,N,-0.3263595063006481,0.01731964314170031,0.7215457405581809,124115,37136,ocp_qualif
13,AM,N,-0.26887255058796866,0.014961582231870269,0.7642406514632268,190987,52767,ocp_qualif
14,RR,N,-0.29171681613344397,0.019471243504549825,0.7469800387204659,87268,26359,ocp_qualif
15,PA,N,-0.268799979498928,0.013167650426834999,0.7642961152521022,259094,58976,ocp_qualif
16,AP,N,-0.30034827019356886,0.02289553566810105,0.7405602606990956,68788,22280,ocp_qualif
17,TO,N,-0.35861464467763676,0.017517903065073656,0.6986435254853804,115922,34142,ocp_qualif
21,MA,NE,-0.2220284492678664,0.011046993469143784,0.8008925792030326,366946,83287,ocp_qualif
22,PI,NE,-0.3066723889558486,0.01670531756776687,0.7358916476513789,145701,39605,ocp_qualif
23,CE,NE,-0.30518783475653705,0.010186401725593782,0.736984930004802,323806,80752,ocp_qualif
24,RN,NE,-0.22836321110970972,0.014244168096933792,0.7958351511664906,136058,38695,ocp_qualif
25,PB,NE,-0.22091705712964047,0.013242702650785249,0.8017831797306628,177159,49346,ocp_qualif
26,PE,NE,-0.24206590719490353,0.011278431772645415,0.785004438406335,258085,67808,ocp_qualif
27,AL,NE,-0.26233930893346413,0.012360120501393722,0.7692499660349376,226544,58179,ocp_qualif
28,SE,NE,-0.23154215042561094,0.01855087829990594,0.793309256475593,127864,31554,ocp_qualif
29,BA,NE,-0.2797587824399686,0.012813111250032866,0.7559660717555018,317333,72745,ocp_qualif
31,MG,SE,-0.3918112452905646,0.007090857941674145,0.6758316683321864,639919,177800,ocp_qualif
32,ES,SE,-0.3796693726240587,0.00987778792446942,0.684087549897682,306371,95828,ocp_qualif
33,RJ,SE,-0.35962774211654186,0.006685422838604355,0.6979360899300855,582142,216345,ocp_qualif
35,SP,SE,-0.4312241420328115,0.00634420020436071,0.6497132664005706,708405,253213,ocp_qualif
41,PR,S,-0.41133728829973887,0.008439729083646059,0.6627633515734019,472725,145897,ocp_qualif
42,SC,S,-0.5627979627699782,0.009164823517553086,0.5696130759528442,578174,190147,ocp_qualif
43,RS,S,-0.4350392444825135,0.010579545338271866,0.647239266009555,457761,152859,ocp_qualif
50,MS,CO,-0.34943602583654465,0.011860425885015576,0.7050856276846434,191721,54666,ocp_qualif
51,MT,CO,-0.36260317889026955,0.011351193040846587,0.6958625116527465,231688,62053,ocp_qualif
52,GO,CO,-0.30036338222702974,0.009593445855480462,0.7405490694122179,301904,84977,ocp_qualif
53,DF,CO,-0.3319616405838159,0.012537223270262446,0.7175148457771457,161331,69469,ocp_qualif
11,RO,N,-0.44379964808497524,0.015598663670985504,0.641593952528161,136387,30109,y_top20
12,AC,N,-0.4420852186608901,0.01900329194908792,0.6426948635261385,124115,25176,y_top20
13,AM,N,-0.38513529296162274,0.01783792672103705,0.680358582250044,190987,30385,y_top20
14,RR,N,-0.42981418447606634,0.020892081280484524,0.6506299806424686,87268,20060,y_top20
15,PA,N,-0.40955441206465437,0.014695691656749043,0.6639460305742727,259094,40626,y_top20
16,AP,N,-0.36477499092560495,0.024810248248435855,0.6943528689984293,68788,16602,y_top20
17,TO,N,-0.49532098866169844,0.01859857009866452,0.6093752733463855,115922,24616,y_top20
21,MA,NE,-0.3751017857862661,0.013932385713647492,0.6872193260714949,366946,38281,y_top20
22,PI,NE,-0.44049558231671004,0.019912624157072657,0.6437173270967347,145701,20594,y_top20
23,CE,NE,-0.3805690492749403,0.013471154536405692,0.6834723690752861,323806,37590,y_top20
24,RN,NE,-0.2635825075857649,0.018093219572548322,0.7682942297220229,136058,20343,y_top20
25,PB,NE,-0.2995425403982415,0.016692102550456903,0.7411571926169982,177159,26127,y_top20
26,PE,NE,-0.3437328621692497,0.014402242166792428,0.7091183350832717,258085,35798,y_top20
27,AL,NE,-0.2978332568979915,0.01630849624963195,0.7424251236955619,226544,27298,y_top20
28,SE,NE,-0.2442652888139563,0.022444237905525896,0.7832798113253887,127864,17341,y_top20
29,BA,NE,-0.2735604038102315,0.01595850572858004,0.7606663878200054,317333,37137,y_top20
31,MG,SE,-0.3784748125705501,0.007648757581095249,0.6849052218397786,639919,134139,y_top20
32,ES,SE,-0.4150480456903627,0.010686768480634188,0.6603085549624709,306371,71581,y_top20
33,RJ,SE,-0.3515580602766999,0.007498784432944539,0.7035909980880413,582142,158949,y_top20
35,SP,SE,-0.37017464132615335,0.006759845161224002,0.6906137104107772,708405,212776,y_top20
41,PR,S,-0.42255480506276943,0.008602770490502324,0.6553703357302021,472725,134895,y_top20
42,SC,S,-0.4512884257263709,0.00904020438073389,0.6368071441245314,578174,187631,y_top20
43,RS,S,-0.45970977900852616,0.010828449785865156,0.6314668838609484,457761,140950,y_top20
