Variável,Coeficiente,SE,p-valor,AME (aprox.),Sig
Intercept,1.36668,0.00476,0.0,0.29826,***
C(Ano)[T.2017],-0.08512,0.00211,0.0,-0.01858,***
C(Ano)[T.2018],-0.09265,0.00212,0.0,-0.02022,***
C(Ano)[T.2019],-0.09002,0.00214,0.0,-0.01965,***
C(Ano)[T.2020],-0.19936,0.00236,0.0,-0.04351,***
C(Ano)[T.2021],-0.14379,0.00238,0.0,-0.03138,***
C(Ano)[T.2022],0.00023,0.00233,0.9221,5e-05,
C(Ano)[T.2023],0.04746,0.0024,0.0,0.01036,***
C(Ano)[T.2024],0.09449,0.00244,0.0,0.02062,***
C(Ano)[T.2025],0.11579,0.00252,0.0,0.02527,***
C(UF)[T.12],-0.15895,0.00572,0.0,-0.03469,***
C(UF)[T.13],-0.35645,0.00508,0.0,-0.07779,***
C(UF)[T.14],-0.05641,0.00656,0.0,-0.01231,***
C(UF)[T.15],-0.18111,0.00497,0.0,-0.03953,***
C(UF)[T.16],-0.08517,0.00692,0.0,-0.01859,***
C(UF)[T.17],0.02946,0.00621,0.0,0.00643,***
C(UF)[T.21],-0.08067,0.00484,0.0,-0.01761,***
C(UF)[T.22],-0.27397,0.00536,0.0,-0.05979,***
C(UF)[T.23],-0.0267,0.00499,0.0,-0.00583,***
C(UF)[T.24],-0.03876,0.00577,0.0,-0.00846,***
C(UF)[T.25],-0.00124,0.0055,0.8222,-0.00027,
C(UF)[T.26],-0.05046,0.0051,0.0,-0.01101,***
C(UF)[T.27],-0.00865,0.00519,0.0957,-0.00189,
C(UF)[T.28],-0.10592,0.00562,0.0,-0.02312,***
C(UF)[T.29],-0.12562,0.0049,0.0,-0.02741,***
C(UF)[T.31],-0.06061,0.00463,0.0,-0.01323,***
C(UF)[T.32],-0.08903,0.00501,0.0,-0.01943,***
C(UF)[T.33],-0.04214,0.00478,0.0,-0.0092,***
C(UF)[T.35],0.01816,0.00483,0.0002,0.00396,***
C(UF)[T.41],0.04543,0.00509,0.0,0.00991,***
C(UF)[T.42],0.20938,0.00535,0.0,0.04569,***
C(UF)[T.43],-0.14664,0.00526,0.0,-0.032,***
C(UF)[T.50],0.04623,0.00567,0.0,0.01009,***
C(UF)[T.51],0.09889,0.00551,0.0,0.02158,***
C(UF)[T.52],0.07153,0.00516,0.0,0.01561,***
C(UF)[T.53],-0.0877,0.00569,0.0,-0.01914,***
negro,-0.0422,0.00126,0.0,-0.00921,***
sexo_fem,-0.31794,0.00108,0.0,-0.06939,***
idade_c,0.0146,4e-05,0.0,0.00319,***
idade_sq,-0.00099,0.0,0.0,-0.00022,***
educ_fund_completo,-0.32927,0.00571,0.0,-0.07186,***
educ_medio_completo,-0.24724,0.0029,0.0,-0.05396,***
educ_superior_completo,-0.18594,0.00132,0.0,-0.04058,***
educ_pos_graduacao,-0.29166,0.00538,0.0,-0.06365,***
urbano,0.33762,0.0015,0.0,0.07368,***
pct_negro_upa_z,0.02981,0.00127,0.0,0.00651,***
tx_desemprego_upa_z,-0.14599,0.00067,0.0,-0.03186,***
media_educ_upa_z,0.02015,0.00061,0.0,0.0044,***
media_renda_upa_z,0.10533,0.00098,0.0,0.02299,***
