,M0_Nulo,M1_Individual,M2_Localidade,M3_Completo,M4_Ocupacao,M1_Individual_OLS,M2_Localidade_OLS,M3_Completo_OLS,M4_Ocupacao_OLS
Intercept,7.2694*** (0.0555),4.7671*** (0.0386),4.7595*** (0.0335),4.7159*** (0.0253),4.6692*** (0.0220),4.9215*** (0.0605),4.9449*** (0.0517),55131402.8631 (nan),35817328.1740 (20333052228.6790)
negro,-,-0.2148*** (0.0006),-0.1021*** (0.0006),-0.1021*** (0.0006),-0.0644*** (0.0005),-0.2148*** (0.0093),-0.1021*** (0.0034),-0.1021*** (0.0034),-0.0644*** (0.0037)
sexo_fem,-,-0.1815*** (0.0005),-0.1826*** (0.0005),-0.1826*** (0.0005),-0.2232*** (0.0005),-0.1815*** (0.0111),-0.1826*** (0.0109),-0.1826*** (0.0109),-0.2232*** (0.0056)
idade_c,-,0.0112*** (0.0000),0.0098*** (0.0000),0.0098*** (0.0000),0.0099*** (0.0000),0.0112*** (0.0003),0.0098*** (0.0002),0.0098*** (0.0002),0.0099*** (0.0002)
idade_sq,-,-0.0006*** (0.0000),-0.0006*** (0.0000),-0.0006*** (0.0000),-0.0004*** (0.0000),-0.0006*** (0.0000),-0.0006*** (0.0000),-0.0006*** (0.0000),-0.0004*** (0.0000)
educ_fund_completo,-,-0.8184*** (0.0032),-0.7594*** (0.0032),-0.7594*** (0.0032),-0.4784*** (0.0028),-0.8184*** (0.0252),-0.7594*** (0.0229),-0.7594*** (0.0229),-0.4784*** (0.0186)
educ_medio_completo,-,-0.6142*** (0.0014),-0.5622*** (0.0014),-0.5622*** (0.0014),-0.2805*** (0.0013),-0.6142*** (0.0173),-0.5622*** (0.0126),-0.5622*** (0.0126),-0.2805*** (0.0100)
educ_superior_completo,-,-0.4976*** (0.0006),-0.4500*** (0.0006),-0.4500*** (0.0006),-0.1888*** (0.0006),-0.4976*** (0.0131),-0.4500*** (0.0115),-0.4500*** (0.0115),-0.1888*** (0.0039)
educ_pos_graduacao,-,-0.5704*** (0.0030),-0.5139*** (0.0029),-0.5139*** (0.0029),-0.2590*** (0.0026),-0.5704*** (0.0189),-0.5139*** (0.0192),-0.5139*** (0.0192),-0.2590*** (0.0098)
log_horas,-,0.7133*** (0.0007),0.7051*** (0.0006),0.7051*** (0.0006),0.6202*** (0.0006),0.7133*** (0.0126),0.7051*** (0.0123),0.7051*** (0.0123),0.6202*** (0.0092)
urbano,-,0.3024*** (0.0007),0.3127*** (0.0007),0.3127*** (0.0007),0.1597*** (0.0007),0.3024*** (0.0223),0.3127*** (0.0158),0.3127*** (0.0158),0.1597*** (0.0077)
pct_negro_upa_z,-,-,-0.2720*** (0.0005),-0.2720*** (0.0005),-0.1862*** (0.0005),-,-0.2720*** (0.0280),-0.2720*** (0.0280),-0.1862*** (0.0185)
tx_desemprego_upa_z,-,-,-0.0405*** (0.0004),-0.0405*** (0.0004),-0.0301*** (0.0003),-,-0.0405*** (0.0089),-0.0405*** (0.0089),-0.0301*** (0.0068)
media_educ_upa_z,-,-,-0.0036*** (0.0003),-0.0036*** (0.0003),0.0094*** (0.0002),-,-0.0036 (0.0089),-0.0036 (0.0089),0.0094 (0.0070)
pct_negro_uf_z,-,-,-,0.0667* (0.0338),0.0225 (0.0293),-,-,-53603466.0460 (nan),-39441546.1482 (56453376209.6934)
tx_desemprego_uf_z,-,-,-,-0.0541 (0.0284),-0.0659** (0.0246),-,-,38058008.1034 (20168040458.5972),21370920.8680 (nan)
media_educ_uf_z,-,-,-,0.0826*** (0.0211),0.0724*** (0.0183),-,-,19517668.3064 (nan),10996291.6227 (11560480850.8349)
emprego_formal,-,-,-,-,0.1981*** (0.0006),-,-,-,0.1981*** (0.0203)
conta_propria,-,-,-,-,-0.1637*** (0.0007),-,-,-,-0.1637*** (0.0191)
trab_domestico,-,-,-,-,-0.0990*** (0.0011),-,-,-,-0.0990*** (0.0113)
ocp_dirigente,-,-,-,-,0.8841*** (0.0014),-,-,-,0.8841*** (0.0257)
ocp_profissional,-,-,-,-,0.9867*** (0.0010),-,-,-,0.9867*** (0.0220)
ocp_tecnico,-,-,-,-,0.5647*** (0.0011),-,-,-,0.5647*** (0.0154)
ocp_administrativo,-,-,-,-,0.3093*** (0.0011),-,-,-,0.3093*** (0.0147)
ocp_servicos,-,-,-,-,0.2083*** (0.0008),-,-,-,0.2083*** (0.0127)
ocp_agro,-,-,-,-,0.0772*** (0.0011),-,-,-,0.0772 (0.0399)
ocp_operario,-,-,-,-,0.2102*** (0.0009),-,-,-,0.2102*** (0.0110)
ocp_operador,-,-,-,-,0.2378*** (0.0010),-,-,-,0.2378*** (0.0146)
ocp_ffaa,-,-,-,-,0.9967*** (0.0024),-,-,-,0.9967*** (0.0321)
sigma2 (Nivel 1),0.7665,0.5132,0.4870,0.4870,0.3790,0.5132,0.4870,0.4870,0.3790
tau2_UF (Nivel 3),0.08327,0.03996,0.03006,0.01497,0.01125,FE,FE,FE,FE
ICC_UF,0.0980,0.0722,0.0581,0.0298,0.0288,FE,FE,FE,FE
N (obs.),"7,689,426","7,689,426","7,689,426","7,689,426","7,689,426","7,689,426","7,689,426","7,689,426","7,689,426"
Log-Likelihood,-9888322.48,-8346283.45,-8144809.75,-8144808.09,-7181095.58,-8346010.59,-8144518.70,-8144520.36,-7180730.49
AIC,N/D,N/D,N/D,N/D,N/D,16692113.17,16289135.41,16289138.72,14361582.98
