quantil,nivel,beta,ci_low,ci_high
0.1,Médio,-0.12317294136192913,-0.13162632267553562,-0.11471956004832265
0.1,Superior,-0.06289477246643216,-0.06702991303887576,-0.05875963189398856
0.1,Pós-Grad.,-0.036497857012861346,-0.057459559012653955,-0.01553615501306874
0.25,Médio,-0.02563207971547854,-0.03082834814734564,-0.020435811283611438
0.25,Superior,0.048635673278425884,0.046095021544750786,0.05117632501210098
0.25,Pós-Grad.,-0.011272213052734514,-0.024146296563138065,0.0016018704576690364
0.5,Médio,0.08722548237767569,0.08200268911558224,0.09244827563976914
0.5,Superior,0.12673934905397743,0.12418504527803069,0.1292936528299242
0.5,Pós-Grad.,0.12314847870825929,0.11020182257064749,0.1360951348458711
0.75,Médio,0.10985203616588723,0.10297241373095117,0.1167316586008233
0.75,Superior,0.19485241166633216,0.1914867126111609,0.19821811072150342
0.75,Pós-Grad.,0.2002682556529507,0.18320389652903674,0.21733261477686466
0.9,Médio,0.0942365812926198,0.08439104857366476,0.10408211401157484
0.9,Superior,0.2446022002192194,0.23978501044796305,0.24941938999047578
0.9,Pós-Grad.,0.27656344276981315,0.2521329921534259,0.3009938933862004
