Variável,Base,Interseccional
Intercept,7.0212*** (0.0495),7.0608*** (0.0495)
negro,-0.0593*** (0.0012),-0.1120*** (0.0026)
sexo_fem,-0.4122*** (0.0011),-0.4766*** (0.0036)
educ_superior_completo,0.1203*** (0.0029),0.0783*** (0.0035)
negro_x_mulher,—,0.0694*** (0.0046)
negro_x_superior,—,0.0537*** (0.0029)
mulher_x_superior,—,0.0540*** (0.0041)
negro_x_mulher_x_superior,—,-0.0434*** (0.0053)
idade_c,0.0081*** (0.0000),0.0081*** (0.0000)
educ_fund_completo,-0.2493*** (0.0044),-0.2445*** (0.0044)
educ_medio_completo,-0.1122*** (0.0030),-0.1142*** (0.0030)
educ_pos_graduacao,0.0287*** (0.0042),0.0322*** (0.0042)
pct_negro_upa_z,-0.1337*** (0.0011),-0.1333*** (0.0011)
