UF,sigla,regiao,gap_blup,gap_blup_pct,n_negro,n,impacto_unit,x_otimo_B9,pct_pop_negra
53,DF,Centro-Oeste,-0.2332,-20.8,102923,161313,0.001625,1.0,2.32
13,AM,Norte,-0.2277,-20.36,159566,190865,0.00246,1.0,3.6
17,TO,Norte,-0.1974,-17.91,90571,115905,0.00121,-0.0,2.04
15,PA,Norte,-0.1913,-17.41,211690,258922,0.002742,1.0,4.78
12,AC,Norte,-0.1867,-17.03,100393,123955,0.001269,1.0,2.27
14,RR,Norte,-0.1856,-16.94,67827,87213,0.000852,0.0,1.53
16,AP,Norte,-0.1598,-14.77,55976,68762,0.000606,0.0,1.26
21,MA,Nordeste,-0.1457,-13.56,299412,366512,0.002953,1.0,6.76
23,CE,Nordeste,-0.1338,-12.52,238338,323331,0.002159,1.0,5.38
22,PI,Nordeste,-0.124,-11.66,116669,145508,0.000979,0.0,2.63
33,RJ,Sudeste,-0.1212,-11.41,319941,581822,0.002625,1.0,7.22
51,MT,Centro-Oeste,-0.1159,-10.94,159478,231640,0.001251,1.0,3.6
43,RS,Sul,-0.1125,-10.64,85759,457533,0.000653,0.0,1.94
25,PB,Nordeste,-0.1119,-10.59,117824,177020,0.000893,0.0,2.66
11,RO,Norte,-0.1086,-10.29,96505,136249,0.00071,0.0,2.18
27,AL,Nordeste,-0.1056,-10.02,167835,226268,0.0012,0.0,3.79
26,PE,Nordeste,-0.0988,-9.41,175619,257705,0.001175,0.0,3.96
50,MS,Centro-Oeste,-0.0906,-8.66,109277,191669,0.00067,0.0,2.47
28,SE,Nordeste,-0.0882,-8.44,100387,127769,0.000599,0.0,2.27
41,PR,Sul,-0.085,-8.15,157578,472589,0.000907,0.0,3.56
52,GO,Centro-Oeste,-0.0841,-8.07,193939,301816,0.001104,0.0,4.38
35,SP,Sudeste,-0.0794,-7.63,285175,708257,0.001533,1.0,6.44
32,ES,Sudeste,-0.0685,-6.62,185641,306151,0.000861,0.0,4.19
42,SC,Sul,-0.0678,-6.56,106718,578029,0.00049,0.0,2.41
24,RN,Nordeste,-0.0676,-6.54,85217,135963,0.00039,0.0,1.92
29,BA,Nordeste,-0.0514,-5.01,261005,316936,0.000908,0.0,5.89
31,MG,Sudeste,-0.0147,-1.46,380154,639724,0.000378,0.0,8.58
