grupo,quantil,b_negro,ci_lo,ci_hi,gap_pct,p_valor
Global,0.1,-0.08653,-0.08893,-0.08414,-8.29,0.0
Global,0.25,-0.07655,-0.07813,-0.07496,-7.37,0.0
Global,0.5,-0.08372,-0.08503,-0.0824,-8.03,0.0
Global,0.75,-0.10633,-0.1079,-0.10475,-10.09,0.0
Global,0.9,-0.12518,-0.12736,-0.123,-11.77,0.0
Global,0.95,-0.1326,-0.13533,-0.12987,-12.42,0.0
Homens,0.1,-0.06403,-0.067,-0.06107,-6.2,0.0
Homens,0.25,-0.06362,-0.06564,-0.0616,-6.16,0.0
Homens,0.5,-0.0764,-0.07812,-0.07468,-7.36,0.0
Homens,0.75,-0.10405,-0.10612,-0.10198,-9.88,0.0
Homens,0.9,-0.12697,-0.12986,-0.12407,-11.92,0.0
Homens,0.95,-0.13378,-0.13735,-0.13021,-12.52,0.0
Mulheres,0.1,-0.12075,-0.12476,-0.11674,-11.37,0.0
Mulheres,0.25,-0.09421,-0.09674,-0.09167,-8.99,0.0
Mulheres,0.5,-0.09155,-0.09359,-0.08951,-8.75,0.0
Mulheres,0.75,-0.10699,-0.10936,-0.10461,-10.15,0.0
Mulheres,0.9,-0.11671,-0.12002,-0.11339,-11.02,0.0
Mulheres,0.95,-0.1255,-0.12975,-0.12125,-11.79,0.0
