Modelo,Quantil,b_negro,CI95_lo,CI95_hi,Gap_pct,p_valor
M3_sem_ocp,0.1,-0.08202,-0.08736,-0.07669,-7.88,0.0
M3_sem_ocp,0.25,-0.07328,-0.07682,-0.06974,-7.07,0.0
M3_sem_ocp,0.5,-0.07993,-0.08288,-0.07699,-7.68,0.0
M3_sem_ocp,0.75,-0.10463,-0.10812,-0.10115,-9.93,0.0
M3_sem_ocp,0.9,-0.12363,-0.12847,-0.11879,-11.63,0.0
M3_sem_ocp,0.95,-0.13032,-0.1365,-0.12414,-12.22,0.0
M4_com_ocp,0.1,-0.0323,-0.03582,-0.02878,-3.18,0.0
M4_com_ocp,0.25,-0.03523,-0.03795,-0.0325,-3.46,0.0
M4_com_ocp,0.5,-0.04052,-0.04303,-0.038,-3.97,0.0
M4_com_ocp,0.75,-0.05426,-0.05721,-0.05131,-5.28,0.0
M4_com_ocp,0.9,-0.07304,-0.07711,-0.06898,-7.04,0.0
M4_com_ocp,0.95,-0.08157,-0.0869,-0.07623,-7.83,0.0
