regiao,quantil,beta_negro,ci_low,ci_high,gap_pct
Norte,0.1,-0.2036045147144847,-0.21077366954011234,-0.19643535988885708,-18.4215061662935
Norte,0.25,-0.15803490836211154,-0.16158476351682619,-0.1544850532073969,-14.618002400865414
Norte,0.5,-0.215463109207767,-0.21921381721312477,-0.21171240120240925,-19.38319901138876
Norte,0.75,-0.2916348423868982,-0.2968363809368601,-0.28643330383693627,-25.29587260173577
Norte,0.9,-0.34418568171697217,-0.35114266005371997,-0.33722870338022437,-29.120269487069763
Nordeste,0.1,-0.15822365798827853,-0.16344973554704367,-0.1529975804295134,-14.634116700161815
Nordeste,0.25,-0.09240698716795492,-0.09470641931826217,-0.09010755501764768,-8.826599001695746
Nordeste,0.5,-0.11777094758595696,-0.11993244421542008,-0.11560945095649384,-11.110036609467777
Nordeste,0.75,-0.2027565264523261,-0.20575040795718974,-0.1997626449474625,-18.352299221886813
Nordeste,0.9,-0.2669068830356309,-0.2711695913421726,-0.26264417472908924,-23.425562806292188
Sudeste,0.1,-0.12324605347988715,-0.1255875493136404,-0.1209045576461339,-11.595388682500074
Sudeste,0.25,-0.1382431394226984,-0.13988448016183183,-0.13660179868356495,-12.911308094103834
Sudeste,0.5,-0.20873161711582622,-0.21061258649248008,-0.20685064773917236,-18.838697053828245
Sudeste,0.75,-0.30231737018825555,-0.3047954660026308,-0.2998392743738803,-26.089654174076227
Sudeste,0.9,-0.3989064318161475,-0.40244130277930923,-0.39537156085298575,-32.894651232789144
Sul,0.1,-0.11969992960044351,-0.12290626305647814,-0.11649359614440888,-11.281338477887425
Sul,0.25,-0.12721361115945662,-0.12964547876853402,-0.12478174355037921,-11.945444185143096
Sul,0.5,-0.16833776010397017,-0.17094466184351062,-0.16573085836442972,-15.493164390008374
Sul,0.75,-0.22085845046307462,-0.2242734702890628,-0.21744343063708643,-19.816982905287883
Sul,0.9,-0.27223586019738377,-0.27733161023567815,-0.2671401101590894,-23.832540881723794
Centro-Oeste,0.1,-0.09297926481212748,-0.09648765767027467,-0.08947087195398029,-8.878760573955836
Centro-Oeste,0.25,-0.11382830637434349,-0.11662825786123475,-0.11102835488745223,-10.758883596206992
Centro-Oeste,0.5,-0.18950091904949895,-0.19270770057995362,-0.18629413751904428,-17.262804349867533
Centro-Oeste,0.75,-0.27556413975480254,-0.27997911115553725,-0.2711491683540678,-24.085626076080292
Centro-Oeste,0.9,-0.33327357446179917,-0.33938098401589845,-0.3271661649076999,-28.342586904423584
