Feature,SHAP_mean_abs_RF,SHAP_mean_abs_XGB,Rank_RF,Rank_XGB
Renda média UPA,0.32872,0.26938,1,1
Horas trabalhadas,0.17613,0.16362,2,2
CBO: Profissionais,0.11208,0.11665,4,3
Emprego formal (carteira),0.13965,0.11006,3,4
Gênero (feminino),0.09079,0.10083,5,5
Idade (centralizada),0.06466,0.10055,6,6
Educ.: não registrada,0.02108,0.07063,9,7
Conta própria,0.02049,0.06345,10,8
CBO: Técnicos,0.03577,0.04579,8,9
CBO: Dirigentes,0.03673,0.03903,7,10
Raça (negro),0.00033,0.0294,23,11
CBO: Serviços/Vendas,0.00121,0.02915,16,12
Desemprego na UPA,0.00152,0.02291,15,13
CBO: Operários,0.00068,0.02181,18,14
CBO: Op. Máquinas,0.00043,0.02057,21,15
Trabalho doméstico,0.00516,0.01853,12,16
% Negro no Estado,0.00067,0.01838,19,17
CBO: Administrativo,0.00283,0.01773,14,18
Desemprego no Estado,0.00042,0.01531,22,19
CBO: Agropecuária,0.00117,0.0151,17,20
CBO: FFAA/Polícia,0.01083,0.01276,11,21
Idade² (experiência),0.00507,0.01153,13,22
% Negro na UPA,0.00033,0.01145,23,23
Educ. média UPA,0.00032,0.01099,25,24
Educ. média Estado,0.00054,0.00613,20,25
Educ.: Médio,0.0,0.00402,28,26
Educ.: Superior,2e-05,0.00258,26,27
Educ.: Fundamental,0.0,0.00104,28,28
Educ.: Pós-graduação,0.0,2e-05,28,29
