source,target,weight_jaccard,shared_upas,inter_racial
Branco_Sem_Instr,Negro_Sem_Instr,0.97919,40651,True
Negro_Sem_Instr,Negro_Superior,0.93828,38720,False
Branco_Sem_Instr,Negro_Superior,0.92318,38323,True
Branco_Sem_Instr,Branco_Superior,0.90534,37348,False
Branco_Superior,Negro_Sem_Instr,0.90018,37308,True
Branco_Superior,Negro_Superior,0.89295,36050,True
Negro_Medio,Negro_Superior,0.86363,34090,False
Negro_Medio,Negro_Sem_Instr,0.84052,34659,False
Branco_Sem_Instr,Negro_Medio,0.83076,34370,True
Branco_Superior,Negro_Medio,0.82469,32690,True
Branco_Medio,Branco_Superior,0.7983,31049,False
Branco_Medio,Branco_Sem_Instr,0.78477,32255,False
Branco_Medio,Negro_Sem_Instr,0.7741,32074,True
Branco_Medio,Negro_Superior,0.76469,30843,True
Branco_Medio,Negro_Medio,0.76083,28986,True
Negro_Medio,Negro_Pos,0.52382,18628,False
Negro_Pos,Negro_Superior,0.49839,19386,False
Branco_Superior,Negro_Pos,0.49159,18802,True
Negro_Fundamental,Negro_Pos,0.48494,12192,False
Negro_Fundamental,Negro_Medio,0.48022,17069,False
Negro_Pos,Negro_Sem_Instr,0.47243,19448,False
Branco_Medio,Negro_Pos,0.46916,16543,True
Branco_Sem_Instr,Negro_Pos,0.46845,19288,True
Branco_Fundamental,Negro_Fundamental,0.45858,9599,True
Negro_Fundamental,Negro_Superior,0.45778,17807,False
Branco_Superior,Negro_Fundamental,0.44617,17114,True
Negro_Fundamental,Negro_Sem_Instr,0.43416,17872,False
Branco_Sem_Instr,Negro_Fundamental,0.42831,17658,True
Branco_Medio,Negro_Fundamental,0.41059,14620,True
Branco_Pos,Negro_Pos,0.37693,8801,True
Branco_Fundamental,Negro_Pos,0.36028,8504,True
Branco_Medio,Branco_Pos,0.35446,11788,False
Branco_Fundamental,Negro_Medio,0.33868,11989,True
Branco_Fundamental,Branco_Medio,0.33863,11384,False
Branco_Pos,Negro_Medio,0.33677,11949,True
Branco_Pos,Branco_Superior,0.33248,12548,False
Branco_Fundamental,Branco_Superior,0.32806,12412,False
Branco_Fundamental,Negro_Superior,0.32067,12500,True
Branco_Pos,Negro_Superior,0.31951,12476,True
Branco_Pos,Branco_Sem_Instr,0.30917,12682,False
Branco_Fundamental,Branco_Sem_Instr,0.30747,12619,False
Branco_Pos,Negro_Sem_Instr,0.30644,12632,True
Branco_Fundamental,Negro_Sem_Instr,0.30631,12618,True
Branco_Fundamental,Branco_Pos,0.28494,5621,False
Branco_Pos,Negro_Fundamental,0.2752,6598,True
