Dimensão,Subgrupo,Mediana Brancos (R$),Mediana Negros (R$),Gap Mediana (%),Média Brancos (R$),Média Negros (R$),Gap Média (%)
Sexo,Homem,2100,1500,28.6,3571,2201,38.4
Sexo,Mulher,1800,1300,27.8,2859,1807,36.8
Faixa etária,14-24,1320,1200,9.1,1603,1308,18.4
Faixa etária,25-34,2000,1500,25.0,2998,1970,34.3
Faixa etária,35-44,2400,1500,37.5,3723,2289,38.5
Faixa etária,45-54,2200,1500,31.8,3681,2290,37.8
Faixa etária,55-64,2000,1500,25.0,3648,2179,40.3
Faixa etária,65+,2000,1200,40.0,3811,2025,46.9
Escolaridade,Fund. incompleto,1200,900,25.0,1484,1041,29.9
Escolaridade,Fund. completo,880,600,31.8,1166,852,26.9
Escolaridade,Médio incompleto,1000,600,40.0,1272,838,34.1
Escolaridade,Médio completo,1212,1000,17.5,1702,1283,24.7
Escolaridade,Superior incomp.,1500,1212,19.2,2046,1619,20.9
Escolaridade,Superior comp.,1449,1200,17.2,1785,1389,22.2
Escolaridade,Pós-graduação,1360,1100,19.1,1663,1300,21.8
