Ano,β_negro,SE,Gap (%),IC95 lo,IC95 hi,N obs,ICC_UF
2016,-0.115549793480889,0.0018788692764895,-10.912378869495743,-0.11923237726280841,-0.11186720969896957,881147,0.0730646662806867
2017,-0.1102862836309371,0.0019142211771681,-10.442229064541564,-0.11403815713818657,-0.10653441012368761,863468,0.0711935975507598
2018,-0.1054296347543846,0.0019440557088761,-10.006220503709972,-0.10923998394378176,-0.10161928556498745,850061,0.0707646577292955
2019,-0.1078221411825327,0.0019560254841184,-10.221273838822874,-0.11165595113140475,-0.10398833123366064,847609,0.0693510783540494
2020,-0.0983415488858986,0.0024742324038209,-9.366070829222284,-0.10319104439738758,-0.09349205337440963,557653,0.0665331484330406
2021,-0.102401051793732,0.0023718084267865,-9.733253733953651,-0.10704979631023354,-0.09775230727723047,587236,0.0666892317159231
2022,-0.1060060624776319,0.0020506504822482,-10.058080464935792,-0.11002533742283838,-0.10198678753242543,759338,0.071082243415813
2023,-0.102999826963085,0.0020427255240192,-9.78728704172016,-0.10700356899016264,-0.09899608493600737,758730,0.0711258982137725
2024,-0.1068087847277624,0.0020265415555542,-10.13024987509511,-0.11078080617664862,-0.10283676327887617,785080,0.0668865998419144
2025,-0.1051297235908952,0.002000047292695,-9.979226316867774,-0.1090498162845774,-0.10120963089721301,799104,0.05981363544237
