label,n_obs,n_ufs,beta_negro,se_negro,pval,gap_pct,icc_uf,aic,uf_excluida,delta_beta,delta_pct,influente
Completo,7689426,27,-0.09984680838510593,0.0006610888021091601,0.0,-9.502395784099937,0.05278641654688458,,,,,
Sem UF 11,7553177,26,-0.09922341761102141,0.000668106481312386,0.0,-9.445962824489374,0.058129259452453085,,11.0,0.0006233907740845201,0.6243472216759518,False
Sem UF 12,7565471,26,-0.09919275723246476,0.0006648705452177951,0.0,-9.44318636086624,0.05278641654688458,,12.0,0.0006540511526411663,0.6550546414248035,False
Sem UF 13,7498561,26,-0.09963996078452017,0.000665130555458709,0.0,-9.483674635663553,0.058129259452453085,,13.0,0.0002068476005857578,0.20716495993337436,False
Sem UF 14,7602213,26,-0.0994432554413971,0.0006642305365585952,0.0,-9.465867839535969,0.05278641654688458,,14.0,0.00040355294370883477,0.4041721014780402,False
Sem UF 15,7430504,26,-0.09911569634609188,0.0006668778360934206,0.0,-9.4362077036528,0.058129259452453085,,15.0,0.000731112039014048,0.7322337597353862,False
Sem UF 16,7620664,26,-0.09961486702442919,0.0006633771589630559,0.0,-9.481403212211381,0.05278641654688459,,16.0,0.00023194136067673787,0.23229722054023752,False
Sem UF 17,7573521,26,-0.09895030654090685,0.0006653450246314885,0.0,-9.421228136988436,0.058129259452453085,,17.0,0.0008965018441990796,0.8978773169606993,False
Sem UF 21,7322914,26,-0.09949240249563354,0.0006693434524015611,0.0,-9.470317216101732,0.05278641654688458,,21.0,0.0003544058894723867,0.354949642561888,False
Sem UF 22,7543918,26,-0.09929273246836137,0.0006636058748184123,0.0,-9.452239347127101,0.058129259452453085,,22.0,0.0005540759167445564,0.5549260168712689,False
Sem UF 23,7366095,26,-0.099387899181772,0.0006721381792989194,0.0,-9.460856069896028,0.05278641654688459,,23.0,0.0004589092033339265,0.4596132923587587,False
Sem UF 24,7553463,26,-0.1003524887728494,0.0006674356832025774,0.0,-9.5481470789485,0.05278641654688458,,24.0,-0.0005056803877434707,0.5064562362304839,False
Sem UF 25,7512406,26,-0.10060704031750867,0.0006682259529299567,0.0,-9.571168807594244,0.05278641654688458,,25.0,-0.0007602319324027385,0.7613983308014698,False
Sem UF 26,7431721,26,-0.10054422297551278,0.0006719282999226814,0.0,-9.565488130358279,0.05278641654688458,,26.0,-0.0006974145904068557,0.6984846102611013,False
Sem UF 27,7463158,26,-0.10034978679177793,0.0006711397908451126,0.0,-9.547902679423848,0.058129259452453085,,27.0,-0.0005029784066720028,0.5037501095999296,False
Sem UF 28,7561657,26,-0.1000250896635814,0.0006644974084998506,0.0,-9.51852837456636,0.058129259452453085,,28.0,-0.00017828127847546726,0.1785548094715678,False
Sem UF 29,7372490,26,-0.1002873805617547,0.0006671653424681391,0.0,-9.542257728894166,0.05985468746458161,,29.0,-0.00044057217664876525,0.4412481317875405,False
Sem UF 31,7049702,26,-0.10151817247937037,0.0006955359156237511,0.0,-9.653523900169091,0.058129259452453085,,31.0,-0.001671364094264438,1.6739284122313058,False
Sem UF 32,7383275,26,-0.09927935322214311,0.0006775019685046774,0.0,-9.45102787823856,0.058129259452453085,,32.0,0.0005674551629628183,0.5683257904190206,False
Sem UF 33,7107604,26,-0.10090961285071463,0.0006968535950298298,0.0,-9.598525949154457,0.05812925945245308,,33.0,-0.001062804465608705,1.0644350909139753,False
Sem UF 35,6981169,26,-0.10182653674012543,0.0007039083266579671,0.0,-9.6813792294687,0.05835001791703892,,35.0,-0.0019797283550195,1.9827657859465588,False
Sem UF 41,7216837,26,-0.09974946625016652,0.0006876659685919429,0.0,-9.493586125330122,0.05812925945245308,,41.0,9.734213493940713e-05,0.09749148371769846,False
Sem UF 42,7111397,26,-0.10040876759846125,0.0006885746842708903,0.0,-9.553237459763642,0.05278641654688458,,42.0,-0.0005619592133553203,0.562821408560063,False
Sem UF 43,7231893,26,-0.09902150807787352,0.0006775509394641191,0.0,-9.427677255165346,0.05278641654688459,,43.0,0.0008253003072324072,0.826566537859929,False
Sem UF 50,7497757,26,-0.09943418834515605,0.0006724458108895425,0.0,-9.465046954125045,0.058129259452453085,,50.0,0.00041262003994987917,0.41325310906125,False
Sem UF 51,7457786,26,-0.09855671879055912,0.0006736362378659872,0.0,-9.385570425182632,0.052786416546884575,,51.0,0.0012900895945468088,1.2920689358151287,False
Sem UF 52,7387610,26,-0.10028708137550901,0.0006790337423561913,0.0,-9.542230665177808,0.05278641654688458,,52.0,-0.00044027299040308443,0.4409484865104207,False
Sem UF 53,7528113,26,-0.09991936385497813,0.0006691656814040498,0.0,-9.50896164209879,0.04280542342220519,,53.0,-7.255546987219863e-05,0.0726667893002193,False
